#adm1+pcode,#adm2+pcode,#date,#affected+infected+confirmed+total,#affected+infected+dead+total,created_at,created_by
13,68,2020-04-01,354.883671680909,30.39741756041212,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-01,418.3020784522181,35.82949557773178,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-02,331.6666445626843,29.46670923636407,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-02,359.30336382917426,31.922075744342134,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-02,369.95881372306457,32.86875232142123,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-02,436.07117788507696,38.74246269787257,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-03,346.289222078474,32.34691389856507,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-03,375.14439389779517,35.04227863664625,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-03,386.2696231457247,36.08148751073308,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-03,455.29676087800624,42.5293199540556,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-04,360.690245389479,33.897793332057915,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-04,390.7454083593158,36.72238788634847,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-04,402.333299092284,37.81142184343947,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-04,474.2310471589214,44.56839693815416,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-05,377.3068107483309,35.00556435598138,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-05,408.74657889183953,37.922465921850055,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-05,420.86830979985234,39.04708922394403,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-05,496.0783005599773,46.024880498224555,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-06,381.2947864344554,37.44266060861299,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-06,413.06685981964523,40.56263759995354,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-06,425.3167123696688,41.76555746105405,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-06,501.3216413762308,49.229144330379434,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-07,398.5760144076614,38.10732322296707,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-07,431.7880771734699,41.28268442125449,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-07,444.5931235055399,42.506957889356784,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-07,524.042784913329,50.10303446642167,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-08,411.8692666947429,39.65820265645991,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-08,446.18901359948893,42.96279367095671,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-08,459.42113207159457,44.23689222206317,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-08,541.5205876341737,52.142111450520225,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-09,427.82116943924075,42.9815157282303,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-09,463.4701373107117,46.56302777746146,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-09,477.2147423508602,47.94389436357684,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-09,562.4939508991874,56.51156213073142,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-10,446.2101684363702,43.867732547369066,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-10,483.391432700038,47.52309020586273,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-10,497.72682086723586,48.932428267980484,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-10,586.6715779963561,57.676748978787735,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-11,469.6949141435476,45.640166185646606,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-11,508.8330870526716,49.44321506266526,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-11,523.9229693339324,50.90949607678778,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-11,617.5490294698485,60.00712267490037,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-12,478.5570823349353,46.969491414354756,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-12,518.4337113366843,50.88330870526716,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-12,533.808308377969,52.39229693339325,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-12,629.2008979504117,61.75490294698485,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-13,490.29945518852395,49.628141871771064,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-13,531.1545385130011,53.763495990470965,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-13,546.9063826113172,55.357898646604184,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-13,644.6396236871578,65.2504634911538,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-14,497.38918974163414,51.400575510048604,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-14,538.8350379402112,55.683620847273495,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-14,554.8146538465464,57.33496645541148,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-14,653.9611184716084,67.58083718726644,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-15,503.8142616803902,53.173009148326145,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-15,545.7954905461204,57.60374570407603,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-15,561.9815246534729,59.312034264218774,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-15,662.4087231200167,69.91121088337907,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-16,519.7661644248881,53.837671762680216,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-16,563.0766142573432,58.32379252537698,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-16,579.7751349327385,60.053434692521506,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-16,683.3820863850304,70.78510101942132,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-17,541.2569222890032,54.502334377034295,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-17,586.3581281460739,59.043839346677935,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-17,603.747082114527,60.79483512082424,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-17,711.6378674503961,71.65899115546355,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-18,551.0053072995297,56.05321381052714,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-18,596.9188148584878,60.723948596380154,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-18,614.620955062967,62.524769453530624,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-18,724.4549227790156,73.69806813956211,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-19,558.5381502622092,57.1609848344506,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-19,605.0793454998986,61.92402663188174,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-19,623.023493250398,63.76043683403518,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-19,734.3590109874943,75.1545516996325,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-20,578.6995828976162,58.268755858374064,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-20,626.9207657460275,63.12410466738332,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-20,645.5126395755809,64.99610421453974,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-20,760.8670117807756,76.6110352597029,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-21,590.8850641607743,60.041189496651604,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-21,640.1216241365449,65.04422952418585,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-21,659.1049807611311,66.97317202334703,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-21,776.88833094155,78.94140895581553,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-22,605.5076416765639,61.148960520575066,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-22,655.9626542051658,66.24430755968744,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-22,675.4157901837913,68.20883940385158,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-22,796.1139139344792,80.39789251588593,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-23,617.028460325368,62.03517733971383,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-23,668.4434657743823,67.2043699880887,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-23,688.2667309410386,69.19737330825524,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-23,811.2613429592113,81.56307936394225,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-24,621.0164360114924,63.36450256842198,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-24,672.763746702188,68.64446363069061,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-24,692.715133510855,70.6801741648607,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-24,816.5046837754647,83.31085963602673,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-25,627.4415079502485,64.91538200191484,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-25,679.7241993080972,70.32457288039282,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-25,699.8820043177815,72.41010849756708,2020-12-10 12:45:33.598434,jaredross
13,69,2020-04-25,824.952288423873,85.34993662012529,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-26,633.4234714794352,65.35849041148421,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-26,686.2046206998058,70.80460409459346,2020-12-10 12:45:33.598434,jaredross
13,68,2020-04-26,706.5546081725062,72.9043754497689,2020-12-10 12:45:33.598434,jaredross
